id,standard,subject,discipline,source_class,unit,unit_number,unit_name,chapter,branch,topic,subtopic,question_type,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,difficulty,cognitive_level,source_document,source_chapter,source_page,figure_asset,figure_required,figure_alt_text,generator_eligible,validation_status
NEET27-CHEM-0024,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Limiting Reagent,limiting reagent,Statement-based MCQ,The statement ‘the reactant consumed first in a reaction’ refers to,limiting reagent,empirical formula,percentage composition,significant figures,A,limiting reagent,"The defining statement matches limiting reagent. In addition, it fixes the maximum theoretical amount of product.",Easy,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0025,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Gay-Lussac's law of gaseous volumes,One-step numerical MCQ,All gaseous volumes below are measured under the same conditions of temperature and pressure. A volume of 20 cm³ of hydrogen reacts completely with 10 cm³ of oxygen to form water vapour. The volume of water vapour formed is,10 cm³,40 cm³,20 cm³,30 cm³,C,20 cm³,"The reaction is 2 H₂(g) + O₂(g) → 2 H₂O(g), so the volume ratio is 2 : 1 : 2. Two volumes of hydrogen give two volumes of water vapour, so 20 cm³ of hydrogen gives 20 cm³ of water vapour. The 10 cm³ of oxygen is exactly the amount required, confirming the reaction is complete.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0026,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,Law of definite proportions,Graph/data interpretation MCQ,"Two pure samples of copper(II) oxide obtained from different sources are analysed. In the first, 1.988 g of copper is combined with 0.501 g of oxygen. In the second, 2.982 g of copper is combined with 0.7515 g of oxygen. These data directly illustrate the",law of multiple proportions,law of definite proportions,law of gaseous volumes,law of conservation of mass,B,law of definite proportions,"For the first sample the mass ratio of copper to oxygen is 1.988 ÷ 0.501 = 3.968. For the second it is 2.982 ÷ 0.7515 = 3.968. The two ratios are identical although the sources and the sample sizes differ, which is exactly the statement of the law of definite proportions.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0027,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic and molecular masses,Atomic mass unit,One-step numerical MCQ,"The mass of one atom of an element is 9.96336 × 10⁻²³ g. Using 1 u = 1.66056 × 10⁻²⁴ g, its atomic mass is",166.0 u,6.00 u,16.0 u,60.0 u,D,60.0 u,Dividing 9.96336 × 10⁻²³ g by 1.66056 × 10⁻²⁴ g u⁻¹ gives 60.0 u.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0028,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Molar mass,particle mass,Conceptual/application MCQ,The mass of one molecule of CO₂ is closest to:,44Nₐ g,1/44Nₐ g,44/Nₐ g,Nₐ/44 g,C,44/Nₐ g,One mole of CO₂ has mass 44 g and contains Nₐ molecules.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0029,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Atomic and molecular masses,Formula mass,Conceptual/application MCQ,"For sodium chloride, the term formula mass is used instead of molecular mass because solid NaCl",has no definite composition,contains only sodium atoms,contains discrete covalent NaCl molecules held together by weak intermolecular forces,contains ions arranged in a lattice rather than discrete NaCl molecules,D,contains ions arranged in a lattice rather than discrete NaCl molecules,NaCl is an ionic lattice of sodium and chloride ions and does not consist of separate NaCl molecules. Therefore its mass is described using a formula unit and formula mass.,Medium,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0030,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Limiting Reagent,limiting reagent,Statement-based MCQ,Consider the following statements about limiting reagent: I. Limiting reagent is NOT the reactant consumed first in a reaction. II. It fixes the maximum theoretical amount of product. Which option is correct?,Both I and II are correct,Only I is correct,Neither I nor II is correct,Only II is correct,D,Only II is correct,Only II is correct. Limiting reagent: the reactant consumed first in a reaction. It fixes the maximum theoretical amount of product.,Difficult,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0031,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Molarity,molarity,Statement-based MCQ,Consider the following statements about molarity: I. Molarity is NOT defined as moles of solute per cubic decimetre of solution. II. It is independent of temperature because solution volume is fixed. Which option is correct?,Only II is correct,Neither I nor II is correct,Both I and II are correct,Only I is correct,B,Neither I nor II is correct,Neither I nor II is correct. Molarity: moles of solute per cubic decimetre of solution. It can change with temperature because solution volume changes.,Difficult,Comprehension,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0032,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,Avogadro constant,One-step numerical MCQ,The number of molecules in 1 mol of a molecular substance is:,6.022 × 10²³ entities,9.033 × 10²³ entities,1.204 × 10²⁴ entities,3.011 × 10²³ entities,A,6.022 × 10²³ entities,Number = nNₐ = 1 × 6.022 × 10²³ = 6.022 × 10²³ entities.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0033,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Laws of chemical combination,definite proportions,Conceptual/application MCQ,Two pure samples of water contain hydrogen and oxygen in the same mass ratio. This illustrates the law of:,gaseous volumes,definite proportions,reciprocal proportions,multiple proportions,B,definite proportions,A given compound has the same elemental mass ratio irrespective of source.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0034,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Stoichiometry,mole ratio,One-step numerical MCQ,"For N₂ + 3H₂ → 2NH₃, how many moles of NH₃ are formed from 2 mol of H₂, with other reactants in excess?",2.667 mol,2 mol,1.333 mol,0.667 mol,C,1.333 mol,The stoichiometric ratio H₂:NH₃ is 3:2; hence the amount formed is 1.333 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0035,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,mass-mole conversion,One-step numerical MCQ,How many moles are present in 25 g of CaCO₃?,0.5 mol,0.375 mol,0.25 mol,0.125 mol,C,0.25 mol,Amount = mass/molar mass = 25/100 = 0.25 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0036,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Molarity,molarity,Sequence/match MCQ,Which term–statement pair is correctly matched?,molecular formula — it fixes the maximum theoretical amount of product,limiting reagent — it is obtained from mole ratios after dividing by the smallest value,empirical formula — its multiplier equals molar mass divided by empirical-formula mass,molarity — it can change with temperature because solution volume changes,D,molarity — it can change with temperature because solution volume changes,The correct match is molarity — it can change with temperature because solution volume changes. The remaining pairs cross-match a term with a statement belonging to another concept.,Difficult,Analysis,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0037,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,mass-mole conversion,One-step numerical MCQ,How many moles are present in 8.5 g of NH₃?,0.75 mol,1 mol,0.25 mol,0.5 mol,D,0.5 mol,Amount = mass/molar mass = 8.5/17 = 0.5 mol.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0038,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Concentration terms,mole fraction,One-step numerical MCQ,A mixture contains 2 mol ethanol and 3 mol water. The mole fraction of ethanol is:,0.40,0.60,0.20,0.67,A,0.40,Mole fraction = 2/(2+3) = 0.40.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0039,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Mole concept,Avogadro constant,One-step numerical MCQ,The number of molecules in 0.25 mol of a molecular substance is:,7.528 × 10²² entities,2.258 × 10²³ entities,1.506 × 10²³ entities,3.011 × 10²³ entities,C,1.506 × 10²³ entities,Number = nNₐ = 0.25 × 6.022 × 10²³ = 1.506 × 10²³ entities.,Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
NEET27-CHEM-0040,NEET-UG,Chemistry,Physical Chemistry,XI,Unit 1: Some Basic Concepts in Chemistry,1,Some Basic Concepts in Chemistry,Some Basic Concepts of Chemistry,Physical Chemistry,Percentage composition,empirical formula,One-step numerical MCQ,The empirical formula of a compound containing 43.7% P and 56.3% O by mass is:,P₂O₅,PO₃,P₂O₃,PO₂,A,P₂O₅,"Mole amounts give P:O ≈ 1:2.5, which becomes 2:5.",Medium,Application,"NCERT Chemistry, Class XI, current rationalised edition",Some Basic Concepts of Chemistry,,,False,,True,PASS
