id,unit,topic,difficulty,question_type
NEET27-CHEM-0259,3,Vsepr Theory,Easy,Direct recall MCQ
NEET27-CHEM-0260,3,sp³d Hybridization,Difficult,Sequence/match MCQ
NEET27-CHEM-0261,3,Bond polarity,Medium,Conceptual/application MCQ
NEET27-CHEM-0262,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0263,3,Ionic Bond,Easy,Direct recall MCQ
NEET27-CHEM-0264,3,sp³d² Hybridization,Difficult,Statement-based MCQ
NEET27-CHEM-0265,3,Molecular-orbital theory,Medium,Conceptual/application MCQ
NEET27-CHEM-0266,3,Bond Order,Difficult,Statement-based MCQ
NEET27-CHEM-0267,3,Vsepr Theory,Difficult,Sequence/match MCQ
NEET27-CHEM-0268,3,Bonding concepts,Medium,Statement-based MCQ
NEET27-CHEM-0269,3,Formal Charge,Difficult,Statement-based MCQ
NEET27-CHEM-0270,3,Pi Bond,Easy,Direct recall MCQ
NEET27-CHEM-0271,3,sp² Hybridization,Easy,Statement-based MCQ
NEET27-CHEM-0272,3,Valence-bond theory,Medium,Structure/diagram MCQ
NEET27-CHEM-0273,3,Sigma Bond,Difficult,Statement-based MCQ
NEET27-CHEM-0274,3,sp³d² Hybridization,Difficult,Sequence/match MCQ
NEET27-CHEM-0275,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0276,3,Molecular-orbital theory,Medium,One-step numerical MCQ
NEET27-CHEM-0277,3,Bond polarity,Medium,Conceptual/application MCQ
NEET27-CHEM-0278,3,sp³ Hybridization,Easy,Statement-based MCQ
NEET27-CHEM-0279,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0280,3,Hydrogen Bonding,Difficult,Sequence/match MCQ
NEET27-CHEM-0281,3,Resonance,Easy,Direct recall MCQ
NEET27-CHEM-0282,3,Covalent Bond,Difficult,Statement-based MCQ
NEET27-CHEM-0283,3,Ionic Bond,Easy,Statement-based MCQ
NEET27-CHEM-0284,3,Coordinate Bond,Difficult,Statement-based MCQ
NEET27-CHEM-0285,3,sp³d Hybridization,Difficult,Statement-based MCQ
NEET27-CHEM-0286,3,sp³d Hybridization,Medium,Conceptual/application MCQ
NEET27-CHEM-0287,3,VSEPR theory,Easy,Structure/diagram MCQ
NEET27-CHEM-0288,3,Sigma Bond,Difficult,Sequence/match MCQ
NEET27-CHEM-0289,4,Pressure-Volume Work,Difficult,Statement-based MCQ
NEET27-CHEM-0290,4,Path Function,Medium,Sequence/match MCQ
NEET27-CHEM-0291,4,Gibbs Energy,Easy,Statement-based MCQ
NEET27-CHEM-0292,4,Equilibrium And Gibbs Energy,Medium,Conceptual/application MCQ
NEET27-CHEM-0293,4,Hess Law,Medium,Statement-based MCQ
NEET27-CHEM-0294,4,Bond Enthalpy Estimate,Easy,Statement-based MCQ
NEET27-CHEM-0295,4,Hess Law,Easy,Statement-based MCQ
NEET27-CHEM-0296,4,Standard Enthalpy Of Formation,Easy,Statement-based MCQ
NEET27-CHEM-0297,4,Adiabatic Process,Easy,Direct recall MCQ
NEET27-CHEM-0298,4,Hess Law,Difficult,Statement-based MCQ
NEET27-CHEM-0299,4,Entropy,Easy,Direct recall MCQ
NEET27-CHEM-0300,4,Standard Gibbs Relation,Difficult,Statement-based MCQ
NEET27-CHEM-0301,4,Standard Enthalpy Of Formation,Easy,Statement-based MCQ
NEET27-CHEM-0302,4,Spontaneous Process,Difficult,Statement-based MCQ
NEET27-CHEM-0303,4,Spontaneous Process,Easy,Direct recall MCQ
NEET27-CHEM-0304,4,Exothermic Process,Easy,Direct recall MCQ
NEET27-CHEM-0305,4,Heat Capacity,Medium,Sequence/match MCQ
NEET27-CHEM-0306,4,Second Law,Easy,Statement-based MCQ
NEET27-CHEM-0307,4,Enthalpy,Easy,Direct recall MCQ
NEET27-CHEM-0308,4,State Function,Easy,Direct recall MCQ
NEET27-CHEM-0309,4,Hess Law,Difficult,Statement-based MCQ
NEET27-CHEM-0310,4,Second Law,Easy,Direct recall MCQ
NEET27-CHEM-0311,4,Reversible Process,Medium,Statement-based MCQ
NEET27-CHEM-0312,4,Irreversible Process,Easy,Direct recall MCQ
NEET27-CHEM-0313,4,Adiabatic Process,Difficult,Sequence/match MCQ
NEET27-CHEM-0314,4,Endothermic Process,Difficult,Statement-based MCQ
NEET27-CHEM-0315,4,Heat Capacity,Easy,Statement-based MCQ
NEET27-CHEM-0316,4,Exothermic Process,Easy,Statement-based MCQ
NEET27-CHEM-0317,4,Adiabatic Process,Easy,Statement-based MCQ
NEET27-CHEM-0318,4,Reversible Process,Easy,Statement-based MCQ
NEET27-CHEM-0319,4,Irreversible Process,Easy,Statement-based MCQ
NEET27-CHEM-0320,4,Adiabatic Process,Difficult,Statement-based MCQ
NEET27-CHEM-0321,4,Gibbs Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0322,4,Entropy,Medium,Sequence/match MCQ
NEET27-CHEM-0323,4,Enthalpy,Difficult,Sequence/match MCQ
NEET27-CHEM-0324,4,Reversible Process,Easy,Statement-based MCQ
NEET27-CHEM-0325,4,Second Law,Difficult,Statement-based MCQ
NEET27-CHEM-0326,4,Reversible Process,Medium,Conceptual/application MCQ
NEET27-CHEM-0327,4,Irreversible Process,Easy,Statement-based MCQ
NEET27-CHEM-0328,4,Enthalpy,Difficult,Statement-based MCQ
NEET27-CHEM-0329,4,Exothermic Process,Difficult,Statement-based MCQ
NEET27-CHEM-0330,4,Standard Enthalpy Of Formation,Difficult,Statement-based MCQ
NEET27-CHEM-0331,4,Standard Enthalpy Of Formation,Difficult,Sequence/match MCQ
NEET27-CHEM-0332,4,Reversible Process,Medium,Sequence/match MCQ
NEET27-CHEM-0333,4,Spontaneous Process,Easy,Statement-based MCQ
NEET27-CHEM-0334,4,Heat Capacity,Difficult,Statement-based MCQ
NEET27-CHEM-0335,4,Gibbs Energy,Difficult,Sequence/match MCQ
NEET27-CHEM-0336,4,Irreversible Process,Difficult,Statement-based MCQ
NEET27-CHEM-0337,4,Entropy,Difficult,Statement-based MCQ
NEET27-CHEM-0338,4,Equilibrium And Gibbs Energy,Easy,Statement-based MCQ
NEET27-CHEM-0339,4,Internal Energy,Easy,Statement-based MCQ
NEET27-CHEM-0340,4,Pressure-Volume Work,Easy,Statement-based MCQ
NEET27-CHEM-0341,4,Irreversible Process,Medium,Sequence/match MCQ
NEET27-CHEM-0342,4,Path Function,Easy,Statement-based MCQ
NEET27-CHEM-0343,4,Bond Enthalpy Estimate,Difficult,Sequence/match MCQ
NEET27-CHEM-0344,4,Spontaneous Process,Medium,Sequence/match MCQ
NEET27-CHEM-0345,4,Equilibrium And Gibbs Energy,Medium,Statement-based MCQ
NEET27-CHEM-0346,4,Gibbs Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0347,4,Path Function,Easy,Direct recall MCQ
NEET27-CHEM-0348,4,Standard Gibbs Relation,Difficult,Statement-based MCQ
NEET27-CHEM-0349,4,Bond Enthalpy Estimate,Difficult,Sequence/match MCQ
NEET27-CHEM-0350,4,Endothermic Process,Medium,Sequence/match MCQ
NEET27-CHEM-0351,4,Standard Enthalpy Of Formation,Medium,Conceptual/application MCQ
NEET27-CHEM-0352,4,Standard Gibbs Relation,Medium,Sequence/match MCQ
NEET27-CHEM-0353,4,Entropy,Easy,Statement-based MCQ
NEET27-CHEM-0354,4,Internal Energy,Difficult,Statement-based MCQ
NEET27-CHEM-0355,4,Heat Capacity,Difficult,Sequence/match MCQ
NEET27-CHEM-0356,4,Gibbs Energy,Easy,Direct recall MCQ
NEET27-CHEM-0357,4,Bond Enthalpy Estimate,Easy,Statement-based MCQ
NEET27-CHEM-0358,4,Reversible Process,Difficult,Statement-based MCQ
NEET27-CHEM-0359,4,Enthalpy,Easy,Statement-based MCQ
