id,source_class,unit,chapter,topic,subtopic,question_type,difficulty,cognitive_level,correct_option,figure_required,figure_files
NEET27-PHY-0031,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0032,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Least count and error,Direct MCQ,Medium,Application,C,False,
NEET27-PHY-0033,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0034,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0035,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Least count,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0036,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0037,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0038,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Percentage error,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0039,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Types of error,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0040,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0041,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0042,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0043,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0044,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0045,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,One-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0046,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in Measurement,Propagation of errors,Multi-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0047,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in measurement,repeated observations,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0048,XI,Unit 1: Physics and Measurement,Units and Measurements,Errors in measurement,error propagation in area,One-step numerical MCQ,Easy,Application,D,False,
NEET27-PHY-0049,XI,Unit 1: Physics and Measurement,Units and Measurements,Measurement,least count,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0050,XI,Unit 1: Physics and Measurement,Units and Measurements,Measurement,parallax,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0051,XI,Unit 1: Physics and Measurement,Units and Measurements,Measurement,order of magnitude,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0052,XI,Unit 1: Physics and Measurement,Units and Measurements,SI units,derived SI unit,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0053,XI,Unit 1: Physics and Measurement,Units and Measurements,SI units,base and derived,Conceptual/application MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0054,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Rounding off,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0055,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Rules,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0056,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Rules,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0057,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Direct MCQ,Medium,Application,A,False,
NEET27-PHY-0058,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0059,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0060,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0061,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0062,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Rounding off,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0063,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Direct MCQ,Medium,Application,D,False,
NEET27-PHY-0064,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0065,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Direct MCQ,Medium,Application,C,False,
NEET27-PHY-0066,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0067,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0068,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0069,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Arithmetic with significant figures,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0070,XI,Unit 1: Physics and Measurement,Units and Measurements,Significant Figures,Counting significant figures,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0071,XI,Unit 1: Physics and Measurement,Units and Measurements,Units,unit conversion,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0072,XI,Unit 1: Physics and Measurement,Units and Measurements,Units,derived SI units,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0073,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Addition of Vectors,Antiparallel vectors,One-step numerical MCQ,Easy,Application,B,False,
NEET27-PHY-0074,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Addition of Vectors,Addition in component form,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0075,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Addition of Vectors,Resultant perpendicular to the smaller force,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0076,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Addition of Vectors,Properties of vector addition,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0077,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Addition of Vectors,Maximum resultant,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0078,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0079,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,Conceptual/application MCQ,Easy,Application,C,False,
NEET27-PHY-0080,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0081,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Average acceleration,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0082,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Instantaneous velocity,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0083,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Displacement Velocity Acceleration,Acceleration in two dimensions,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0084,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Independence of components,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0085,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Vector form of kinematic equations,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0086,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Independence of components,Statement-based MCQ,Easy,Analysis,B,False,
NEET27-PHY-0087,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Minimum speed,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0088,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Two stage motion,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0089,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Independence of components,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0090,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Vector form of kinematic equations,Multi-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0091,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Vector form of kinematic equations,One-step numerical MCQ,Easy,Application,C,False,
NEET27-PHY-0092,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Equations of Motion in a Plane,Vector form of kinematic equations,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0093,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Frame of reference,relative description of motion,Conceptual/application MCQ,Easy,Application,B,False,
NEET27-PHY-0094,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Frame of reference,Galilean relative velocity,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0095,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Frame of reference,inertial frames,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0096,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Motion in a straight line,average speed and velocity,Multi-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0097,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Motion in a straight line,distance from velocity graph,Multi-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0098,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Position–time graphs,intersection of graphs,Graph/data interpretation MCQ,Medium,Analysis,D,False,
NEET27-PHY-0099,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Position–time graphs,slope interpretation,Graph/data interpretation MCQ,Easy,Analysis,B,False,
NEET27-PHY-0100,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Position–time graphs,curvature and acceleration,Graph/data interpretation MCQ,Medium,Analysis,A,False,
NEET27-PHY-0101,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Change in velocity,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0102,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Assumptions of projectile motion,Conceptual/application MCQ,Easy,Application,A,False,
NEET27-PHY-0103,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Velocity at any instant,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0104,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Symmetry of the trajectory,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0105,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Symmetry of the trajectory,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0106,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Position at a given velocity direction,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0107,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Velocity at the highest point,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0108,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Velocity at any instant,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0109,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Variation of velocity components with time,Graph/data interpretation MCQ,Medium,Analysis,A,False,
NEET27-PHY-0110,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile Motion Basics,Nature of the path,Direct MCQ,Easy,Recall,B,False,
NEET27-PHY-0111,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Velocity on landing,Multi-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0112,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Velocity on landing,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0113,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Velocity on landing,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0114,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Time of fall,One-step numerical MCQ,Easy,Application,C,False,
NEET27-PHY-0115,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Horizontal range,Multi-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0116,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Independence of components,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0117,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Horizontal range,Multi-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0118,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Projectile from a Height,Motion seen from the moving frame,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0119,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,River boat problem,Conceptual/application MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0120,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,River boat problem,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0121,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Relative velocity in one dimension,One-step numerical MCQ,Easy,Application,A,False,
NEET27-PHY-0122,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Rain and umbrella,Conceptual/application MCQ,Easy,Application,D,False,
NEET27-PHY-0123,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Rain and umbrella,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0124,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,River boat problem,Conceptual/application MCQ,Medium,Application,C,False,
NEET27-PHY-0125,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Relative velocity in two dimensions,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0126,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Definition of relative velocity,Conceptual/application MCQ,Medium,Application,A,False,
NEET27-PHY-0127,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Relative velocity in two dimensions,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0128,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Relative Velocity,Relative velocity in one dimension,One-step numerical MCQ,Easy,Application,B,False,
NEET27-PHY-0129,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Magnitude in three dimensions,One-step numerical MCQ,Medium,Application,B,False,
NEET27-PHY-0130,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Vector equally inclined to the axes,Multi-step numerical MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0131,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Angle from a single component,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0132,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Cartesian unit vectors,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0133,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Components at 37°,One-step numerical MCQ,Medium,Application,C,False,
NEET27-PHY-0134,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Angle from two components,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0135,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Components of a projection velocity,Conceptual/application MCQ,Difficult,Analysis,C,False,
NEET27-PHY-0136,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Perpendicular vector in a plane,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0137,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Components at a standard angle,One-step numerical MCQ,Easy,Application,B,False,
NEET27-PHY-0138,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Resolution of Vectors,Resolution on an inclined plane,Conceptual/application MCQ,Medium,Application,B,False,
NEET27-PHY-0139,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Angle between two vectors,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0140,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Work as a scalar product,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0141,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Projection of one vector on another,One-step numerical MCQ,Medium,Application,D,False,
NEET27-PHY-0142,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Finding an unknown component,Multi-step numerical MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0143,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Scalar product of a vector with itself,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0144,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Scalar products of unit vectors,Direct MCQ,Easy,Recall,D,False,
NEET27-PHY-0145,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalar Product,Properties of the scalar product,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0146,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Condition for a unit vector,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0147,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Displacement and unit vector,One-step numerical MCQ,Medium,Application,A,False,
NEET27-PHY-0148,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Perpendicular unit vectors,Conceptual/application MCQ,Difficult,Analysis,D,False,
NEET27-PHY-0149,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Unit vector from components,One-step numerical MCQ,Easy,Application,B,False,
NEET27-PHY-0150,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Identifying scalars and vectors,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0151,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Null vector,Statement-based MCQ,Easy,Analysis,A,False,
NEET27-PHY-0152,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Equal vectors,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0153,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Collinear vectors,Statement-based MCQ,Medium,Analysis,C,False,
NEET27-PHY-0154,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Scalars and Vectors,Coplanar vectors,Direct MCQ,Medium,Application,C,False,
NEET27-PHY-0155,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Subtraction of Vectors,Definition of vector subtraction,Direct MCQ,Easy,Recall,A,False,
NEET27-PHY-0156,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Subtraction of Vectors,Subtraction is not commutative,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0157,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Subtraction of Vectors,Combined sum and difference conditions,Multi-step numerical MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0158,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Subtraction of Vectors,Difference of parallel vectors,One-step numerical MCQ,Easy,Application,C,False,
NEET27-PHY-0159,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Subtraction of Vectors,Vector minus itself,Direct MCQ,Easy,Recall,C,False,
NEET27-PHY-0160,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Time of Flight Maximum Height Range,Dependence on launch speed,Conceptual/application MCQ,Medium,Application,D,False,
NEET27-PHY-0161,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Time of Flight Maximum Height Range,Time of flight,Multi-step numerical MCQ,Difficult,Analysis,A,False,
NEET27-PHY-0162,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Time of Flight Maximum Height Range,Dependence on the launch angle,Conceptual/application MCQ,Difficult,Analysis,B,False,
NEET27-PHY-0163,XI,Unit 2: Kinematics,Motion in a Straight Line and Motion in a Plane,Time of Flight Maximum Height Range,Complementary angles,Conceptual/application MCQ,Difficult,Analysis,B,False,
